country;date_pandemic_start;Country Code;population
Saint Lucia;2020-07-03;LCA;182790.0
Saint Vincent and the Grenadines;2020-05-28;VCT;110589.0
San Marino;2020-03-05;SMR;33860.0
Sao Tome and Principe;2020-05-04;STP;215056.0
Saudi Arabia;2020-03-10;SAU;34268528.0
Senegal;2020-03-15;SEN;16296364.0
Serbia;2020-03-13;SRB;6944975.0
Seychelles;2020-06-27;SYC;97625.0
Sierra Leone;2020-04-17;SLE;7813215.0
Singapore;2020-02-04;SGP;5703569.0
Slovakia;2020-03-13;SVK;5454073.0
Slovenia;2020-03-10;SVN;2087946.0
Somalia;2020-04-10;SOM;15442905.0
South Africa;2020-03-13;ZAF;58558270.0
South Sudan;2020-04-28;SSD;11062113.0
Spain;2020-02-28;ESP;47076781.0
Sri Lanka;2020-03-16;LKA;21803000.0
Sudan;2020-04-13;SDN;42813238.0
Suriname;2020-05-31;SUR;581372.0
Sweden;2020-03-03;SWE;10285453.0
Switzerland;2020-03-01;CHE;8574832.0
Syria;2020-04-11;SYR;17070135.0
Taiwan*;2020-02-16;;23773876.0
Tajikistan;2020-05-02;TJK;9321018.0
Tanzania;2020-04-01;TZA;58005463.0
Thailand;2020-02-04;THA;69625582.0
Timor-Leste;2020-04-20;TLS;1293119.0
Togo;2020-03-24;TGO;8082366.0
Trinidad and Tobago;2020-03-21;TTO;1394973.0
Tunisia;2020-03-16;TUN;11694719.0
Turkey;2020-03-17;TUR;83429615.0
US;2020-02-29;USA;328239523.0
Uganda;2020-03-27;UGA;44269594.0
Ukraine;2020-03-20;UKR;44385155.0
United Arab Emirates;2020-02-29;ARE;9770529.0
United Kingdom;2020-02-19;GBR;66834405.0
Uruguay;2020-03-16;URY;3461734.0
Uzbekistan;2020-03-19;UZB;33580650.0
Venezuela;2020-03-17;VEN;28515829.0
Vietnam;2020-03-08;VNM;96462106.0
West Bank and Gaza;2020-03-10;PSE;4685306.0
Western Sahara;;;582463.0
Yemen;2020-05-05;YEM;29161922.0
Zambia;2020-03-27;ZMB;17861030.0
Zimbabwe;2020-04-15;ZWE;14645468.0
