Country Name;name_JHU;Country Code;Population in 2019 (WB DB);sources of pop data (if not from World Bank DB)
Portugal;Portugal;PRT;10269417;
Puerto Rico;Puerto Rico;PRI;3193694;
Qatar;Qatar;QAT;2832067;
Romania;Romania;ROU;19356544;
Russian Federation;Russia;RUS;144373535;
Rwanda;Rwanda;RWA;12626950;
Samoa;;WSM;197097;
San Marino;San Marino;SMR;33860;
Sao Tome and Principe;Sao Tome and Principe;STP;215056;
Saudi Arabia;Saudi Arabia;SAU;34268528;
Senegal;Senegal;SEN;16296364;
Serbia;Serbia;SRB;6944975;
Seychelles;Seychelles;SYC;97625;
Sierra Leone;Sierra Leone;SLE;7813215;
Singapore;Singapore;SGP;5703569;
Sint Maarten (Dutch part);;SXM;40733;
Slovak Republic;Slovakia;SVK;5454073;
Slovenia;Slovenia;SVN;2087946;
Solomon Islands;;SLB;669823;
Somalia;Somalia;SOM;15442905;
South Africa;South Africa;ZAF;58558270;
South Sudan;South Sudan;SSD;11062113;
Spain;Spain;ESP;47076781;
Sri Lanka;Sri Lanka;LKA;21803000;
St. Kitts and Nevis;Saint Kitts and Nevis;KNA;52823;
St. Lucia;Saint Lucia;LCA;182790;
St. Martin (French part);;MAF;38002;
St. Vincent and the Grenadines;Saint Vincent and the Grenadines;VCT;110589;
Sudan;Sudan;SDN;42813238;
Suriname;Suriname;SUR;581372;
Sweden;Sweden;SWE;10285453;
Switzerland;Switzerland;CHE;8574832;
Syrian Arab Republic;Syria;SYR;17070135;
Tajikistan;Tajikistan;TJK;9321018;
Tanzania;Tanzania;TZA;58005463;
Thailand;Thailand;THA;69625582;
Timor-Leste;Timor-Leste;TLS;1293119;
Togo;Togo;TGO;8082366;
Tonga;Tonga;TON;104494;
Trinidad and Tobago;Trinidad and Tobago;TTO;1394973;
Tunisia;Tunisia;TUN;11694719;
Turkey;Turkey;TUR;83429615;
Turkmenistan;;TKM;5942089;
Turks and Caicos Islands;;TCA;38191;
Tuvalu;;TUV;11646;
Uganda;Uganda;UGA;44269594;
Ukraine;Ukraine;UKR;44385155;
United Arab Emirates;United Arab Emirates;ARE;9770529;
United Kingdom;United Kingdom;GBR;66834405;
United States;US;USA;328239523;
Uruguay;Uruguay;URY;3461734;
Uzbekistan;Uzbekistan;UZB;33580650;
Vanuatu;;VUT;299882;
Venezuela, RB;Venezuela;VEN;28515829;
Vietnam;Vietnam;VNM;96462106;
Virgin Islands (U.S.);;VIR;106631;
West Bank and Gaza;West Bank and Gaza;PSE;4685306;
Yemen, Rep.;Yemen;YEM;29161922;
Zambia;Zambia;ZMB;17861030;
Zimbabwe;Zimbabwe;ZWE;14645468;
(Holy See);Holy See;;801;worldometer
(Taiwan);Taiwan*;;23773876;Worldometer
(Western Sahara);Western Sahara;;582463;Worldometer
